id,region,name,population
1,1,Meru District Council ,268144
2,1,Arusha City Council ,416442
3,1,Arusha District Council ,323198
4,1,Karatu District Council ,230166
5,1,Longido District Council ,123153
6,1,Monduli District Council ,158929
7,1,Ngorongoro District Council ,174278
8,2,Ilala Municipal Council ,1220611
9,2,Kinondoni Municipal Council ,1775049
10,2,Temeke Municipal Council ,1368881
11,3,Bahi District Council ,221645
12,3,Chamwino District Council ,330543
13,3,Chemba District Council ,235711
14,3,Dodoma Municipal Council ,410956
15,3,Kondoa District Council ,269704
16,3,Kongwa District Council ,309973
17,3,Mpwapwa District Council ,305056
18,4,Bukombe District Council ,224542
19,4,Chato District Council ,365127
20,4,Geita Town Council & Geita District Council ,807619
21,4,Mbongwe District Council ,193922
22,4,Nyang'hwale District Council ,14832
23,5,Iringa District Council ,254032
24,5,Iringa Municipal Council ,151345
25,5,Kilolo District Council ,218130
26,5,Mafinga Town Council ,51902
27,5,Mufindi District Council ,265829
28,6,Biharamulo District Council ,323486
29,6,Bukoba District Council ,289697
30,6,Bukoba Municipal Council ,128796
31,6,Karagwe District Council ,332020
32,6,Kyerwa District Council ,321026
33,6,Missenyi District Council ,202632
34,6,Muleba District Council ,540310
35,6,Ngara District Council ,320056
36,19,Micheweni District ,103816
37,19,Wete District ,107916
38,29,Kaskazini A District ,105780
39,29,Kaskazini B District ,81675
40,7,Mlele District Council ,282568
41,7,Mpanda District Council ,179136
42,7,Mpanda Town Council ,102900
43,8,Buhigwe District Council ,254342
44,8,Kakonko District Council ,167555
45,8,Kasulu District Council ,425794
46,8,Kasulu Town Council ,208244
47,8,Kibondo District Council ,261331
48,8,Kigoma District Council ,211566
49,8,Kigoma-Ujiji Municipal Council ,215458
50,8,Uvinza District Council ,383640
51,9,Hai District Council ,210533
52,9,Moshi District Council ,466737
53,9,Moshi Municipal Council ,184292
54,9,Mwanga District Council ,131442
55,9,Rombo District Council ,260963
56,9,Same District Council ,269807
57,9,Siha District Council ,116313
58,20,Chake Chake District ,97249
59,20,Mkoani District ,97867
60,30,Kati District ,76346
61,30,Kusini District ,39242
62,10,Kilwa District Council ,190744
63,10,Lindi District Council ,194143
64,10,Lindi Municipal Council ,78841
65,10,Liwale District Council ,91380
66,10,Nachingwea District Council ,178464
67,10,Ruangwa District Council ,131080
68,11,Babati Town Council ,93108
69,11,Babati District Council ,312392
70,11,Hanang District Council ,275990
71,11,Kiteto District Council ,244669
72,11,Mbulu District Council ,320279
73,11,Simanjiro District Council ,178693
74,12,Bunda District Council ,335061
75,12,Butiama District Council ,241732
76,12,Musoma District Council ,178356
77,12,Musoma Municipal Council ,134327
78,12,Rorya District Council ,265241
79,12,Serengeti District Council ,249420
80,12,Tarime District Council ,339693
81,13,Chunya District Council ,290478
82,13,Ileje District Council ,124451
